,SalePrice,OverallQual,1stFlrSF,TotRmsAbvGrd,YearBuilt,LotFrontage
146,135000.0,5.0,1236.0,6.0,1961.0,65.0
147,108480.0,5.0,1073.0,4.0,1921.0,60.0
148,235000.0,6.0,1236.0,7.0,1935.0,120.0
149,115000.0,6.0,1166.0,6.0,1936.0,51.0
150,167240.0,7.0,1248.0,5.0,2005.0,43.0
151,131000.0,6.0,869.0,6.0,1941.0,60.0
152,230000.0,7.0,1005.0,8.0,1999.0,66.0
153,114504.0,6.0,684.0,7.0,1910.0,60.0
154,133500.0,5.0,864.0,5.0,1972.0,36.0
155,178000.0,6.0,1140.0,7.0,1984.0,78.0
156,220000.0,6.0,1096.0,7.0,1932.0,
157,228500.0,7.0,1175.0,7.0,1989.0,82.0
158,157000.0,5.0,1178.0,5.0,1973.0,80.0
159,257000.0,8.0,1844.0,7.0,2005.0,88.0
160,140000.0,5.0,1021.0,6.0,1958.0,85.0
161,160000.0,7.0,624.0,4.0,1999.0,24.0
162,160000.0,6.0,1116.0,5.0,1962.0,87.0
163,109500.0,5.0,792.0,5.0,1924.0,52.0
164,134800.0,5.0,900.0,5.0,1951.0,60.0
165,118500.0,6.0,816.0,5.0,1990.0,81.0
166,156500.0,6.0,1478.0,6.0,1957.0,70.0
167,171000.0,5.0,1701.0,6.0,1975.0,
168,128200.0,5.0,894.0,5.0,1976.0,75.0
169,172500.0,6.0,918.0,7.0,1978.0,70.0
170,156000.0,6.0,912.0,5.0,1978.0,
171,159000.0,5.0,1114.0,6.0,2004.0,66.0
172,160000.0,6.0,983.0,7.0,1940.0,75.0
173,142125.0,5.0,1078.0,5.0,1950.0,68.0
174,181000.0,6.0,1337.0,5.0,1998.0,34.0
175,165000.0,6.0,1224.0,5.0,1999.0,
176,125000.0,5.0,825.0,4.0,1955.0,49.0
177,242000.0,7.0,2069.0,9.0,1960.0,313.0
178,173733.0,6.0,612.0,4.0,2009.0,30.0
179,372500.0,8.0,2046.0,7.0,2008.0,80.0
180,157000.0,6.0,1253.0,5.0,1960.0,
181,115000.0,5.0,997.0,7.0,1919.0,85.0
182,189000.0,5.0,990.0,8.0,1921.0,51.0
183,130000.0,5.0,899.0,5.0,1967.0,65.0
184,337000.0,8.0,1268.0,8.0,1999.0,82.0
185,111000.0,4.0,948.0,5.0,1954.0,75.0
186,412500.0,9.0,1572.0,10.0,2003.0,110.0
187,255000.0,8.0,1636.0,8.0,2006.0,116.0
188,139400.0,7.0,1108.0,6.0,1930.0,57.0
189,109900.0,4.0,1040.0,4.0,1950.0,60.0
190,109008.0,4.0,907.0,5.0,1957.0,77.0
191,316600.0,8.0,1496.0,5.0,1983.0,79.0
192,208500.0,7.0,856.0,8.0,2003.0,65.0
193,140000.0,6.0,1069.0,4.0,1977.0,53.0
194,345000.0,9.0,1182.0,11.0,2005.0,85.0
195,124900.0,5.0,1188.0,7.0,1890.0,98.0
196,186500.0,6.0,962.0,8.0,2000.0,93.0
197,206300.0,7.0,1344.0,8.0,1997.0,78.0
198,250580.0,7.0,1372.0,6.0,2007.0,72.0
199,133000.0,7.0,767.0,4.0,1998.0,34.0
200,165500.0,6.0,1661.0,8.0,1955.0,80.0
201,274725.0,7.0,887.0,9.0,2006.0,168.0
202,114500.0,6.0,816.0,6.0,1934.0,52.0
203,239000.0,7.0,1064.0,5.0,1987.0,44.0
204,340000.0,8.0,1580.0,8.0,2004.0,102.0
205,374000.0,9.0,1792.0,6.0,2003.0,72.0
206,215000.0,8.0,1065.0,8.0,1993.0,80.0
207,124500.0,5.0,816.0,5.0,1982.0,76.0
208,125000.0,6.0,1125.0,6.0,1976.0,72.0
209,207500.0,6.0,864.0,7.0,2003.0,64.0
210,168500.0,7.0,804.0,7.0,1995.0,
211,341000.0,7.0,1325.0,9.0,1993.0,96.0
212,140000.0,6.0,1192.0,6.0,1940.0,60.0
213,183000.0,7.0,798.0,6.0,2003.0,72.0
214,262500.0,7.0,2156.0,9.0,1968.0,
215,148500.0,6.0,855.0,7.0,1978.0,24.0
216,261500.0,8.0,1299.0,7.0,2001.0,
217,118000.0,5.0,698.0,4.0,1947.0,50.0
218,176000.0,7.0,1253.0,6.0,1995.0,63.0
219,301500.0,8.0,1987.0,7.0,1994.0,91.0
220,263435.0,8.0,832.0,8.0,2009.0,75.0
221,320000.0,7.0,1392.0,9.0,2005.0,134.0
222,180000.0,7.0,774.0,7.0,2000.0,
223,119000.0,5.0,1728.0,10.0,1964.0,
224,173000.0,6.0,800.0,7.0,1966.0,
225,153500.0,5.0,1559.0,5.0,1948.0,90.0
226,167500.0,5.0,754.0,7.0,2006.0,73.0
227,115000.0,5.0,1771.0,9.0,1960.0,100.0
228,415298.0,9.0,2121.0,8.0,2006.0,107.0
229,128000.0,4.0,1067.0,4.0,1950.0,60.0
230,149000.0,5.0,1042.0,8.0,1928.0,52.0
231,110000.0,4.0,894.0,5.0,1954.0,68.0
232,64500.0,4.0,968.0,5.0,1927.0,60.0
233,219500.0,7.0,1057.0,8.0,1997.0,
234,149900.0,5.0,1466.0,6.0,1959.0,134.0
235,176432.0,6.0,1314.0,6.0,2006.0,78.0
236,133000.0,5.0,1036.0,6.0,1949.0,60.0
237,160000.0,5.0,1126.0,5.0,1977.0,80.0
238,167900.0,6.0,798.0,7.0,1964.0,80.0
239,130000.0,5.0,1024.0,7.0,1911.0,55.0
240,199900.0,7.0,956.0,10.0,1998.0,
241,108000.0,4.0,1126.0,5.0,1949.0,67.0
242,194201.0,7.0,1402.0,7.0,2006.0,53.0
243,153575.0,6.0,698.0,7.0,1915.0,60.0
244,148000.0,6.0,1072.0,5.0,2005.0,35.0
245,313000.0,9.0,1476.0,8.0,2000.0,
246,155000.0,6.0,1094.0,5.0,1953.0,85.0
247,270000.0,8.0,1629.0,9.0,2002.0,85.0
248,82500.0,7.0,1411.0,6.0,1977.0,85.0
249,110000.0,5.0,979.0,5.0,1950.0,
250,164990.0,7.0,1310.0,6.0,2005.0,65.0
251,179900.0,8.0,1234.0,7.0,2007.0,85.0
252,125500.0,5.0,803.0,6.0,1938.0,60.0
253,138800.0,5.0,1096.0,6.0,1969.0,
254,135960.0,5.0,943.0,4.0,1979.0,
255,118000.0,5.0,1128.0,5.0,1954.0,75.0
256,318000.0,8.0,1734.0,7.0,2007.0,93.0
257,200500.0,5.0,1636.0,12.0,1946.0,138.0
258,130000.0,6.0,838.0,5.0,1918.0,55.0
259,184750.0,10.0,3138.0,11.0,2007.0,130.0
260,120500.0,5.0,778.0,4.0,1940.0,71.0
261,284000.0,7.0,1006.0,8.0,2003.0,85.0
262,130000.0,5.0,894.0,5.0,1967.0,57.0
263,131400.0,5.0,1144.0,6.0,1961.0,80.0
264,120000.0,5.0,1340.0,7.0,1957.0,60.0
265,139000.0,6.0,1196.0,6.0,1956.0,72.0
266,177500.0,6.0,769.0,5.0,2000.0,
267,154000.0,5.0,1154.0,6.0,1966.0,
268,124500.0,5.0,1041.0,6.0,1959.0,80.0
269,92000.0,5.0,630.0,3.0,1970.0,21.0
270,219500.0,7.0,960.0,6.0,1940.0,75.0
271,162900.0,5.0,1128.0,8.0,1930.0,52.0
272,79000.0,5.0,889.0,6.0,1900.0,63.0
273,132000.0,5.0,928.0,4.0,1956.0,70.0
274,140000.0,5.0,1283.0,6.0,1962.0,70.0
275,278000.0,8.0,1659.0,5.0,2000.0,40.0
276,129000.0,5.0,936.0,4.0,1956.0,74.0
277,155900.0,6.0,848.0,3.0,2004.0,37.0
278,149350.0,5.0,1228.0,6.0,1966.0,
279,215000.0,7.0,1236.0,7.0,1986.0,46.0
280,197500.0,5.0,1088.0,9.0,1976.0,
281,235000.0,6.0,1252.0,4.0,1960.0,
282,125000.0,5.0,894.0,5.0,1966.0,99.0
283,188000.0,6.0,773.0,8.0,1995.0,
284,143000.0,6.0,923.0,5.0,1980.0,50.0
285,175900.0,7.0,1569.0,7.0,2007.0,51.0
286,119000.0,5.0,804.0,4.0,1940.0,60.0
287,262280.0,7.0,1532.0,10.0,1990.0,86.0
288,79000.0,6.0,572.0,5.0,1924.0,60.0
289,142953.0,5.0,1120.0,12.0,1979.0,64.0
290,87000.0,5.0,912.0,6.0,1930.0,52.0
291,205000.0,7.0,1186.0,7.0,1965.0,85.0
